file,num_frames,mean_bit_density,var_bit_density,mean_frame_ones,median_frame_ones,repeated_word_count,mean_frame_entropy,var_frame_entropy,max_frame_entropy,active_frame_ratio,mean_density_jump,max_density_jump,mean_hamming,max_hamming,median_hamming,mean_inter_frame_hamming,max_inter_frame_hamming,label,path,filesize_bytes
AES-T100B.bit,5426,0.049967177652155186,0.010541153758164537,161.4872834500553,10.0,7370,1.048666940889064,2.722124610993985,7.197914159782992,0.40950976778474013,0.016386309713920702,0.2617574257425742,0.0,0,0.0,203.38119815668202,1775,benign,bitstreams\benign\AES-T100B.bit,2192116
counter_benign.bit,5426,0.00010754507997795727,2.1199803525569656e-06,0.340950976778474,0.0,61,0.003370153160569425,0.001773320310680841,1.4425999666127702,0.002395871728713601,6.849705707897979e-05,0.04146039603960396,161.45669001105787,1958,10.0,0.3537327188940092,138,benign,bitstreams\benign\counter_benign.bit,2192122
led_blinker.bit,5426,8.040220719454916e-05,1.6922233644167734e-06,0.2532252119424991,0.0,44,0.002653996268843925,0.0015110013621857986,1.4425999666127702,0.001474382602285293,5.2299584797189395e-05,0.04146039603960396,161.39402875046073,1958,10.0,0.2575115207373272,136,benign,bitstreams\benign\led_blinker.bit,2192115
pwm_benign.bit,5426,0.00013149467361037615,2.024839679290676e-06,0.4183560633984519,0.0,65,0.004325350876532731,0.0018189545071489455,1.4425999666127702,0.0027644673792849243,0.0001085344709586166,0.04146039603960396,161.5127165499447,1958,10.0,0.5074654377880184,134,benign,bitstreams\benign\pwm_benign.bit,2192118
simple_alu_benign.bit,854,0.03548494852412642,0.0007037429585230389,114.68149882903981,144.0,300,1.11943331246587,0.6018382274877094,2.1815873717436767,0.6733021077283372,0.005912809188304528,0.06497524752475248,251.78103044496487,1945,197.5,205.21219226260257,503,benign,bitstreams\benign\simple_alu_benign.bit,345175
uart_tx_benign.bit,5426,0.00026025225080561867,4.53947445048975e-06,0.8345005528934759,0.0,97,0.007731147250707883,0.002930295373482594,1.5011739204130843,0.005344636933284188,0.00016710772459734455,0.041150990099009896,161.91043125691118,1958,11.5,0.9703225806451613,137,benign,bitstreams\benign\uart_tx_benign.bit,2192122
AES-T100M.bit,5426,0.04477444956991092,0.00977867453061274,144.7043862882418,0.0,6781,0.9320300539706221,2.645905669849983,7.17974031323525,0.3332104681164762,0.01393718346489027,0.2642326732673267,181.36564688536674,1663,10.0,185.77308755760367,1847,malicious,bitstreams\malicious\AES-T100M.bit,2192116
alu_trojan_fsm.bit,856,0.03576566403719811,0.0007303603186262479,115.56658878504673,146.5,311,1.1190329566431125,0.6079218975027482,2.1815873717436767,0.6588785046728972,0.0057694256267732036,0.06064356435643565,252.9626168224299,1914,200.5,205.12865497076024,503,malicious,bitstreams\malicious\alu_trojan_fsm.bit,345904
counter_trojan_fsm.bit,5426,0.00013274917613397905,2.68210576093686e-06,0.42241061555473647,0.0,59,0.004298415877618219,0.0022224841996797014,1.4425999666127702,0.003317360855141909,7.442852580188894e-05,0.04146039603960396,161.54699594544783,1958,10.0,0.45622119815668205,138,malicious,bitstreams\malicious\counter_trojan_fsm.bit,2192126
counter_trojan_junk.bit,5426,0.00016080441438909833,2.6174117856260196e-06,0.513085145595282,0.0,84,0.005221276934306272,0.0022281842562712323,1.4425999666127702,0.004238849981570218,7.876306063786102e-05,0.04146039603960396,161.62440103206782,1958,10.0,0.535483870967742,138,malicious,bitstreams\malicious\counter_trojan_junk.bit,2192127
counter_trojan_ring.bit,5426,0.00011358950122804392,2.2469451164545816e-06,0.36048654625875415,0.0,56,0.0035352122338491053,0.001858277120378945,1.4425999666127702,0.0027644673792849243,6.439065565542729e-05,0.04146039603960396,161.47917434574273,1958,10.0,0.37032258064516127,138,malicious,bitstreams\malicious\counter_trojan_ring.bit,2192127
led_blinker_trojan_fsm.bit,5426,0.000236074565805272,6.803065154727306e-06,0.7563582749723553,0.0,91,0.0062271466927691765,0.0030820744493433696,1.4425999666127702,0.005897530409141172,0.00012153807546653282,0.04146039603960396,161.91669738297088,1958,10.0,0.7161290322580646,200,malicious,bitstreams\malicious\led_blinker_trojan_fsm.bit,2192130
led_blinker_trojan_junk.bit,5426,0.00023196892118257161,5.923391054608148e-06,0.7430888315517877,0.0,101,0.006268063966955399,0.0030594191259329146,1.4425999666127702,0.005897530409141172,0.00011925674134233699,0.05321782178217822,161.89642462218947,1958,10.5,0.7209216589861751,194,malicious,bitstreams\malicious\led_blinker_trojan_junk.bit,2192131
led_blinker_trojan_ring.bit,5426,0.0002123530635407809,9.283751379980322e-06,0.6796903796535201,0.0,73,0.004950868143114477,0.0033993703053780576,1.4425999666127702,0.004791743457427202,0.00011035953825797326,0.06683168316831684,161.84555842241062,1958,10.0,0.5800921658986176,238,malicious,bitstreams\malicious\led_blinker_trojan_ring.bit,2192131
led_blinker_trojan_ring_large.bit,5426,0.00022295931214942358,8.021103183886682e-06,0.7139697751566532,0.0,66,0.005220860138592951,0.003220476191490506,1.4425999666127702,0.00571323258385551,0.0001112720719076516,0.055693069306930694,161.87873203096203,1958,10.0,0.6420276497695853,216,malicious,bitstreams\malicious\led_blinker_trojan_ring_large.bit,2192137
pwm_trojan_fsm.bit,5426,0.0001486015262049611,2.405728599332879e-06,0.47364541098415036,0.0,63,0.004604175057311374,0.0019359447922321937,1.4425999666127702,0.003685956505713233,0.0001112720719076516,0.04146039603960396,161.5669001105787,1958,10.0,0.5638709677419355,140,malicious,bitstreams\malicious\pwm_trojan_fsm.bit,2192122
